'	exclamation	lex112884.1_ἒ
Kαρῶν	verb	lex31428.1_καρόω
Kαρῶν	noun	lex29357.1_κάρα
Kαρῶν	noun	lex29356.1_κάρ
Kαρῶν	noun	lex31436.1_καρώ
Tυραννίων	verb	lex76499.1_τυραννεύω
Tυραννίων	verb	lex76503.1_τυραννιάω
Xείρων	verb	lex80581.1_χειρόω
Xείρων	adjective	lex80380.1_χείρων
oἶς	noun	lex121741.1_ὄις
oὕτως	adverb	lex49931.1_οὕτως
xρόα	noun	lex81862.1_χρώς
xρόα	noun	lex81508.1_χροιά
¨ἰάχοντος	verb	lex115986.1_ἰάχω
¨ἰάχουσα	verb	lex115986.1_ἰάχω
¨ἰάχων	verb	lex115986.1_ἰάχω
¨ἰνίον	noun	lex116334.1_ἰνίον
¨ἰνίον	verb	lex116332.1_ἰνάω
¨ἰνίον	verb	lex116333.1_ἰνέω
¨ἵσας	verb	lex117777.1_ἵζω
¨ὁ	article	lex120807.1_ὁ
Άδου	noun	lex11593.1_άδος
ΐδε	noun	lex11598.1_ίδος
ΐδε	noun	http://data.perseus.org/collections/_ιδος
ΐδιον	noun	lex11597.1_ίδιον
ΐδμεν	verb	lex49627.1_οἶδα
ΐθι	verb	lex24364.1_εἶμι
ΐμεν	verb	lex24364.1_εἶμι
Αθηναίοις	adjective	http://data.perseus.org/collections/_Αθηναῖος
Αθηναίοις	adjective	http://data.perseus.org/collections/_Αθηναῖος
Αθηναῖοι	adjective	http://data.perseus.org/collections/_Αθηναῖος
Ασίας	noun	lex11606.1_ασία
Αφροδίτην	noun	http://data.perseus.org/collections/_Αφροδίτης
Αφροδίτην	noun	http://data.perseus.org/collections/_Αφροδίτης
Αφροδίτης	noun	http://data.perseus.org/collections/_Αφροδίτης
Αἰακίδην	noun	lex17.1_Αἰακίδης
Αἰακοῦ	noun	lex18.1_Αἰακός
Αἰακὸν	noun	lex18.1_Αἰακός
Αἰακῶν	noun	lex13.1_Αἰάκης
Αἰγέα	noun	lex42.1_Αἰγεύς
Αἰγέα	noun	lex33.1_Αἰγίς
Αἰγέα	adjective	lex12222.1_αἴγεος
Αἰγίσθου	noun	lex185.1_Αἴγισθος
Αἰγίσθω	noun	lex185.1_Αἴγισθος
Αἰγίσθῳ	noun	lex185.1_Αἴγισθος
Αἰγαίωνα	noun	lex36.1_Αἰγαίων
Αἰγαῖον	adjective	lex37.1_Αἰγαῖος
Αἰγεῖ	noun	lex33.1_Αἰγίς
Αἰγεῖ	noun	lex42.1_Αἰγεύς
Αἰγιάλειαν	noun	lex45.1_Αἰγιάλεια
Αἰγιαλόν	noun	lex49.1_Αἰγιαλός
Αἰγιαλός	noun	lex49.1_Αἰγιαλός
Αἰγυπτίων	adjective	lex76.1_Αἰγύπτιος
Αἰγυπτίων	verb	lex70.1_Αἰγυπτιόω
Αἰγυπτίων	verb	lex70.1_Αἰγυπτιόω
Αἰγυπτίων	adjective	lex76.1_Αἰγύπτιος
Αἰγύπτια	adjective	lex76.1_Αἰγύπτιος
Αἰγύπτου	noun	lex188.1_Αἴγυπτος
Αἰγύπτῳ	noun	lex188.1_Αἴγυπτος
Αἰγίσθου	noun	lex185.1_Αἴγισθος
Αἰγύπτιοι	adjective	lex76.1_Αἰγύπτιος
Αἰγύπτου	noun	lex188.1_Αἴγυπτος
Αἰδοῦς	noun	lex11732.1_αἰδώς
Αἰδοῦς	noun	lex11731.1_αἰδώ
Αἰθίοπας	noun	lex84.1_Αἰθίοψ
Αἰθίοπες	noun	lex84.1_Αἰθίοψ
Αἰθιοπίαν	adjective	lex94.1_Αἰθιόπιος
Αἰθιοπίαν	noun	lex90.1_Αἰθιοπία
Αἰθιοπῆας	noun	lex84.1_Αἰθίοψ
Αἰθιόπεσσιν	noun	lex84.1_Αἰθίοψ
Αἰνεία	noun	lex114.1_Αἰνείας
Αἰνείαν	noun	lex114.1_Αἰνείας
Αἰνείαο	noun	lex114.1_Αἰνείας
Αἰνείας	noun	lex114.1_Αἰνείας
Αἰνείου	noun	lex114.1_Αἰνείας
Αἰνείω	noun	lex114.1_Αἰνείας
Αἰνείας	noun	lex114.1_Αἰνείας
Αἰνόπαρις	noun	lex122.1_Αἰνόπαρις
Αἰνόπαρις	noun	lex11877.1_αἰνόπαρις
Αἰολίδα	noun	lex129.1_Αἰολεύς
Αἰολίδα	noun	lex125.1_Αἰολίδης
Αἰολίδα	noun	lex127.1_Αἰολίς
Αἰολίδη	noun	lex125.1_Αἰολίδης
Αἰολεῖς	noun	lex129.1_Αἰολεύς
Αἰολική	adjective	lex130.1_Αἰολικός
Αἰολικοῦ	adjective	lex130.1_Αἰολικός
Αἰολικωτέρα	adjective	lex130.1_Αἰολικός
Αἰολικόν	adjective	lex130.1_Αἰολικός
Αἰολικὸν	adjective	lex130.1_Αἰολικός
Αἰολικὸς	adjective	lex130.1_Αἰολικός
Αἰολικῶς	adjective	lex130.1_Αἰολικός
Αἰολὶς	noun	lex129.1_Αἰολεύς
Αἰολὶς	noun	lex127.1_Αἰολίς
Αἰολίδα	noun	lex125.1_Αἰολίδης
Αἰολίδα	noun	lex127.1_Αἰολίς
Αἰολίδα	noun	lex129.1_Αἰολεύς
Αἰπύ	adjective	lex11932.1_αἰπύς
Αἰπύ	noun	lex131.1_Αἰπύ
Αἰπὺ	adjective	lex11932.1_αἰπύς
Αἰπὺ	noun	lex131.1_Αἰπύ
Αἰσήποιο	noun	lex209.1_Αἴσηπος
Αἰσχρίων	noun	lex144.1_Αἰσχρίων
Αἰσχρίωνι	noun	lex144.1_Αἰσχρίων
Αἰσχύλος	noun	lex150.1_Αἰσχύλος
Αἰσχύλῳ	noun	lex150.1_Αἰσχύλος
Αἰσχύλος	noun	lex150.1_Αἰσχύλος
Αἰσχύλῳ	noun	lex150.1_Αἰσχύλος
Αἰτίω	verb	lex12011.1_αἰτέω
Αἰτίω	adjective	lex12270.1_αἴτιος
Αἰτωλίαν	noun	lex158.1_Αἰτωλία
Αἰτωλίαν	adjective	lex164.1_Αἰτώλιος
Αἰτωλίαν	noun	lex159.1_Αἰτωλίη
Αἰτωλίας	noun	lex158.1_Αἰτωλία
Αἰτωλίας	adjective	lex164.1_Αἰτώλιος
Αἰτωλίας	noun	lex159.1_Αἰτωλίη
Αἰτωλοί	noun	lex162.1_Αἰτωλοί
Αἰτωλοί	adjective	lex163.1_Αἰτωλός
Αἰτωλοὶ	adjective	lex163.1_Αἰτωλός
Αἰτωλοὶ	noun	lex162.1_Αἰτωλοί
Αἰτωλοῖς	adjective	lex163.1_Αἰτωλός
Αἰτωλοῖς	noun	lex162.1_Αἰτωλοί
Αἰτωλῶν	noun	lex162.1_Αἰτωλοί
Αἰτωλῶν	adjective	lex163.1_Αἰτωλός
Αἰόλου	adjective	lex12073.1_αἰόλος
Αἰόλου	noun	lex205.1_Αἴολος
Αἰάντεσσιν	verb	lex11607.1_αἰάζω
Αἰάντεσσιν	noun	lex175.1_Αἴας
Αἱμονίδης	noun	lex170.1_Αἱμονίδης
Αἴαντα	noun	lex175.1_Αἴας
Αἴαντας	noun	lex175.1_Αἴας
Αἴαντες	noun	lex175.1_Αἴας
Αἴαντι	noun	lex175.1_Αἴας
Αἴαντος	noun	lex175.1_Αἴας
Αἴας	noun	lex175.1_Αἴας
Αἴας	noun	lex220.1_Αἶα
Αἴας	noun	lex12276.1_αἶα
Αἴγειον	adjective	lex176.1_Αἴγειος
Αἴγιναν	noun	lex182.1_Αἴγινα
Αἴγυπτον	noun	lex188.1_Αἴγυπτος
Αἴγυπτος	noun	lex188.1_Αἴγυπτος
Αἴγύπτον	noun	lex188.1_Αἴγυπτος
Αἴθρα	noun	lex194.1_Αἴθρη
Αἴθρα	noun	lex12239.1_αἴθρη
Αἴθραν	noun	lex12239.1_αἴθρη
Αἴθραν	noun	lex194.1_Αἴθρη
Αἴθρας	noun	lex12239.1_αἴθρη
Αἴθρας	noun	lex194.1_Αἴθρη
Αἴθρη	noun	lex12239.1_αἴθρη
Αἴθρη	noun	lex194.1_Αἴθρη
Αἴθρῃ	noun	lex12239.1_αἴθρη
Αἴθρῃ	noun	lex194.1_Αἴθρη
Αἴθων	noun	lex12277.1_αἶθος
Αἴθων	noun	lex11774.1_αἰθος
Αἴθων	noun	lex197.1_Αἴθων
Αἴθων	verb	lex12244.1_αἴθω
Αἴθων	adjective	lex12245.1_αἴθων
Αἴσηπον	noun	lex209.1_Αἴσηπος
Αἶαν	noun	lex12276.1_αἶα
Αἶαν	noun	lex220.1_Αἶα
Αἶαν	noun	lex175.1_Αἴας
Αὐγέα	noun	lex230.1_Αὐγέας
Αὐγέα	adjective	lex12302.1_αὐγής
Αὐγέας	noun	lex230.1_Αὐγέας
Αὐγέας	adjective	lex12302.1_αὐγής
Αὐγέου	noun	lex230.1_Αὐγέας
Αὐγείας	noun	lex231.1_Αὐγείας
Αὐγείου	noun	lex231.1_Αὐγείας
Αὐγειάς	noun	lex232.1_Αὐγειαί
Αὐλίδα	noun	lex245.1_Αὐλίς
Αὐλίδι	noun	lex245.1_Αὐλίς
Αὐλίδος	noun	lex245.1_Αὐλίς
Αὐλὶς	noun	lex245.1_Αὐλίς
Αὐλίδι	noun	lex245.1_Αὐλίς
Αὐτομέδοντος	noun	lex273.1_Αὐτομέδων
Αὐτομέδων	noun	lex273.1_Αὐτομέδων
Αὐτόλυκος	noun	lex286.1_Αὐτόλυκος
Αὐτόμεδον	noun	lex273.1_Αὐτομέδων
Αὔγης	noun	lex296.1_Αὔγη
Αὔγης	verb	lex12299.1_αὐγέω
Αὖλιν	noun	lex13044.1_αὖλις
Βάκχαις	noun	lex330.1_Βάκχη
Βακχυλίδη	noun	lex468.1_Βακχυλίδης
Βαλίε	noun	lex471.1_Βαλίος
Βατίειαν	noun	lex517.1_Βατίεια
Βελλεροφόντην	noun	lex539.1_Βελλεροφόντης
Βελλεροφόντης	noun	lex539.1_Βελλεροφόντης
Βελλεροφόντου	noun	lex539.1_Βελλεροφόντης
Βοηθοίδης	noun	http://data.perseus.org/collections/_Βοηθοΐδης
Βοιωτία	adjective	lex653.1_Βοιώτιος
Βοιωτία	noun	lex642.1_Βοιωτία
Βοιωτίαν	adjective	lex653.1_Βοιώτιος
Βοιωτίαν	noun	lex642.1_Βοιωτία
Βοιωτίας	noun	lex642.1_Βοιωτία
Βοιωτίας	adjective	lex653.1_Βοιώτιος
Βοιωτίης	adjective	lex653.1_Βοιώτιος
Βοιωτίης	noun	lex642.1_Βοιωτία
Βοιωτίᾳ	adjective	lex653.1_Βοιώτιος
Βοιωτίᾳ	noun	lex642.1_Βοιωτία
Βοιωτιακὴ	adjective	lex648.1_Βοιωτιακός
Βοιωτιακὸς	adjective	lex648.1_Βοιωτιακός
Βοιωτοὺς	noun	lex651.1_Βοιωτός
Βοιωτοῦ	noun	lex651.1_Βοιωτός
Βοιωτός	noun	lex651.1_Βοιωτός
Βοιωτία	noun	lex642.1_Βοιωτία
Βοιωτία	adjective	lex653.1_Βοιώτιος
Βοιωτίας	noun	lex642.1_Βοιωτία
Βοιωτίας	adjective	lex653.1_Βοιώτιος
Βοιωτός	noun	lex651.1_Βοιωτός
Βοιωτῶν	noun	lex651.1_Βοιωτός
Βοιωτῷ	noun	lex651.1_Βοιωτός
Βοιώτιος	adjective	lex653.1_Βοιώτιος
Βορέης	noun	lex670.1_Βορέης
Βορέης	noun	lex667.1_Βορέας
Βορέου	noun	lex667.1_Βορέας
Βορέου	noun	lex670.1_Βορέης
Βορέας	noun	lex670.1_Βορέης
Βορέας	noun	lex667.1_Βορέας
Βοσπόρου	noun	lex869.1_Βόσπορος
Βουπράσιον	noun	lex727.1_Βουπράσιος
Βούτα	noun	lex14767.1_βούτης
Βούτα	noun	lex759.1_Βούτης
Βοώτου	noun	lex14786.1_βοώτης
Βοώτου	noun	lex765.1_Βοώτης
Βριάρεω	noun	lex808.1_Βριάρεως
Βριάρεων	noun	lex808.1_Βριάρεως
Βρισηΐδα	noun	http://data.perseus.org/collections/_Βρισηΐς
Βρισηΐς	noun	http://data.perseus.org/collections/_Βρισηΐς
Βρισηῒς	noun	http://data.perseus.org/collections/_Βρισηΐς
Βρισηΐδα	noun	http://data.perseus.org/collections/_Βρισηΐς
Βρισῆος	noun	lex816.1_Βρισεύς
Βρόμιον	verb	lex15064.1_βρομέω
Βρόμιον	adjective	lex833.1_Βρόμιος
Βρόμιον	adjective	lex15183.1_βρόμιος
Βῆλος	noun	lex884.1_Βῆλος
Βῆσαν	verb	lex13227.1_βαίνω
Βῆσσαν	noun	lex886.1_Βῆσσα
Βῆσσαν	noun	lex15485.1_βῆσσα
Γάργαρον	noun	lex918.1_Γάργαρος
Γάργαρον	noun	lex917.1_Γάργαρον
Γίγαντες	noun	lex946.1_Γίγας
Γανυμήδεα	noun	lex1014.1_Γανυμήδης
Γανυμήδης	noun	lex1014.1_Γανυμήδης
Γανυμήδης	noun	lex1013.1_Γανυμήδη
Γανυμήδης	noun	lex1014.1_Γανυμήδης
Γανυμήδης	noun	lex1013.1_Γανυμήδη
Γαῖα	noun	lex1035.1_Γαῖα
Γαῖα	noun	lex15908.1_γαῖα
Γερήνιος	noun	lex1075.1_Γερήνιος
Γερήνοις	noun	lex936.1_Γέρηνος
Γιγάντων	noun	lex946.1_Γίγας
Γιγάντων	noun	lex946.1_Γίγας
Γλαυκόν	adjective	lex16403.1_γλαυκός
Γλαύκη	noun	lex1133.1_Γλαύκη
Γλαύκου	verb	lex16408.1_γλαυκόω
Γλαύκου	noun	lex1136.1_Γλαῦκος
Γλαύκου	noun	lex16427.1_γλαῦκος
Γλαύκου	noun	http://data.perseus.org/collections/_Γλαύκος
Γλαύκωνα	noun	lex1135.1_Γλαύκων
Γλαύκου	noun	lex16427.1_γλαῦκος
Γλαύκου	noun	lex1136.1_Γλαῦκος
Γλαύκου	noun	http://data.perseus.org/collections/_Γλαύκος
Γλαύκου	verb	lex16408.1_γλαυκόω
Γλαῦκον	noun	lex16427.1_γλαῦκος
Γλαῦκον	noun	http://data.perseus.org/collections/_Γλαύκος
Γλαῦκον	noun	lex1136.1_Γλαῦκος
Γλαῦκος	noun	lex16427.1_γλαῦκος
Γλαῦκος	noun	lex1136.1_Γλαῦκος
Γλαῦκος	noun	http://data.perseus.org/collections/_Γλαύκος
Γλαῦκος	noun	lex16424.1_γλαύξ
Γλίσαντα	noun	lex1122.1_Γλίσας
Γοργοῦς	noun	lex1256.1_Γόργω
Γοργοῦς	noun	lex1189.1_Γοργώ
Γοργόνα	noun	lex1190.1_Γοργών
Γοργόνα	noun	lex1186.1_Γοργόνη
Γοργόνος	noun	lex1190.1_Γοργών
Γοργός	adjective	lex16800.1_γοργός
Γραμματικοῦ	adjective	lex16881.1_γραμματικός
Γράνικος	noun	lex1203.1_Γράνικος
Γυγαίη	noun	lex1231.1_Γυγαίη
Γυγαίῃ	noun	lex1231.1_Γυγαίη
Γόρτυνά	noun	lex1261.1_Γόρτυς
Γόρτυνά	noun	lex1260.1_Γόρτυνα
Γὸργην	noun	lex1253.1_Γόργη
Γῆ	noun	lex1035.1_Γαῖα
Γῆ	noun	lex17292.1_γῆ
Γῆς	noun	lex17292.1_γῆ
Γῆς	noun	lex1035.1_Γαῖα
Γῇ	noun	lex1035.1_Γαῖα
Γῇ	noun	lex17292.1_γῆ
Δάρδανοι	noun	lex1303.1_Δάρδανος
Δάρδανος	noun	lex1303.1_Δάρδανος
Δάρης	verb	lex17437.1_δέρω
Δάρης	noun	lex1302.1_Δάρας
Δάρης	noun	lex1301.1_Δάρα
Δάρης	noun	lex1304.1_Δάρης
Δάρητος	noun	lex1304.1_Δάρης
Δάφνη	noun	lex1310.1_Δάφνη
Δάφνη	noun	lex17370.1_δάφνη
Δέρης	noun	lex18218.1_δειρή
Δήμητρος	noun	lex1605.1_Δημήτηρ
Δήμω	noun	lex1989.1_Δῆμος
Δήμω	noun	lex23677.1_δῆμος
Δία	noun	lex2415.1_Ζεύς
Δία	noun	lex1362.1_Δίον
Δία	adjective	lex23684.1_δῖος
Δίας	noun	lex1345.1_Δίη
Δίας	adjective	lex23684.1_δῖος
Δίδυμον	adjective	lex17523.1_δίδυμος
Δίδυμον	noun	lex1343.1_Δίδυμος
Δίδυμος	adjective	lex17523.1_δίδυμος
Δίδυμος	noun	lex1343.1_Δίδυμος
Δίκτυϊ	noun	lex1354.1_Δίκτυς
Δίκτυϊ	noun	lex17589.1_δίκτυς
Δίου	verb	lex17530.1_δίεμαι
Δίου	noun	lex1993.1_Δῖος
Δίου	noun	lex1362.1_Δίον
Δίου	adjective	lex23684.1_δῖος
Δίου	verb	lex17734.1_δίω
Δαίδαλος	noun	lex1373.1_Δαίδαλος
Δαιδάλου	noun	lex1373.1_Δαίδαλος
Δανάη	noun	lex1447.1_Δανάη
Δανάης	noun	lex1447.1_Δανάη
Δαναοί	noun	lex1454.1_Δαναός
Δαναοί	noun	lex1453.1_Δαναοί
Δαναούς	noun	lex1453.1_Δαναοί
Δαναούς	noun	lex1454.1_Δαναός
Δαναοὶ	noun	lex1453.1_Δαναοί
Δαναοὶ	noun	lex1454.1_Δαναός
Δαναοὺς	noun	lex1454.1_Δαναός
Δαναοὺς	noun	lex1453.1_Δαναοί
Δαναοῖσι	noun	lex1453.1_Δαναοί
Δαναοῖσι	noun	lex1454.1_Δαναός
Δαναοῖσιν	noun	lex1453.1_Δαναοί
Δαναοῖσιν	noun	lex1454.1_Δαναός
Δαναοῦ	noun	lex1454.1_Δαναός
Δαναὸν	noun	lex1454.1_Δαναός
Δαναὸς	noun	lex1454.1_Δαναός
Δαναΐδες	noun	lex1451.1_Δαναίδες
Δαναῶν	noun	lex1453.1_Δαναοί
Δαναῶν	noun	lex1454.1_Δαναός
Δαναῷ	noun	lex1454.1_Δαναός
Δαρδάνιαι	adjective	lex1458.1_Δαρδάνιος
Δαρδάνιαι	noun	lex1459.1_Δαρδανία
Δαρδάνου	noun	lex1303.1_Δάρδανος
Δαρδάνων	noun	lex1303.1_Δάρδανος
Δαρδανίδαο	noun	lex1460.1_Δαρδανίδης
Δαρδανίων	adjective	lex1458.1_Δαρδάνιος
Δαρδανίων	noun	lex1462.1_Δαρδανίων
Δαρδανίας	noun	lex1459.1_Δαρδανία
Δαρδανίας	adjective	lex1458.1_Δαρδάνιος
Δαυλιέως	noun	lex1494.1_Δαύλιος
Δαυλιέως	noun	lex1486.1_Δαυλιεύς
Δαυλὶς	noun	lex1484.1_Δαυλίς
Δειμός	noun	lex18158.1_δειμός
Δεκέλειαν	noun	lex1521.1_Δεκέλεια
Δελφοί	noun	lex1540.1_Δελφοί
Δελφοὺς	noun	lex1540.1_Δελφοί
Δελφοῖς	noun	lex1540.1_Δελφοί
Δελφῶν	noun	lex1540.1_Δελφοί
Δεξιάδην	noun	lex1550.1_Δεξιάδη
Δεξιάδην	noun	lex1550.1_Δεξιάδη
Δευκαλίδαο	noun	lex1569.1_Δευκαλίδης
Δευκαλίων	noun	lex1570.1_Δευκαλίων
Δεῖμον	verb	lex17409.1_δέμω
Δεῖμον	noun	lex1577.1_Δεῖμος
Δεῖμος	noun	lex1577.1_Δεῖμος
Δεῖμόν	verb	lex17409.1_δέμω
Δεῖμόν	noun	lex1577.1_Δεῖμος
Δηλοῖ	verb	lex18687.1_δηλόω
Δημήτηρ	noun	lex1605.1_Δημήτηρ
Δημήτριον	adjective	lex1608.1_Δημήτριος
Δημήτριον	noun	http://data.perseus.org/collections/_Δημ́ητριος
Δημήτριος	noun	http://data.perseus.org/collections/_Δημ́ητριος
Δημήτριος	adjective	lex1608.1_Δημήτριος
Δημητριακὸν	adjective	lex1616.1_Δημητριακός
Δημητρίω	adjective	lex1608.1_Δημήτριος
Δημητρίω	noun	http://data.perseus.org/collections/_Δημ́ητριος
Δημοσθένης	noun	lex1635.1_Δημοσθένης
Δημοσθένης	noun	lex1635.1_Δημοσθένης
Δημόκριτος	noun	lex1646.1_Δημόκριτος
Δημήτριος	noun	http://data.perseus.org/collections/_Δημ́ητριος
Δημήτριος	adjective	lex1608.1_Δημήτριος
Δημῶ	noun	lex18798.1_δημός
Δημῶ	noun	lex1654.1_Δημώ
Δηϊάνειραν	noun	lex1581.1_Δηιάνειρα
Δηϊπύλην	noun	lex1585.1_Δηιπύλη
Διΐ	noun	lex2415.1_Ζεύς
Διά	preposition	lex18824.1_διά
Διά	noun	lex2415.1_Ζεύς
Διδύμου	noun	lex1343.1_Δίδυμος
Διδύμου	adjective	lex17523.1_δίδυμος
Διδύμου	adjective	lex17523.1_δίδυμος
Διδύμου	noun	lex1343.1_Δίδυμος
Δικαιάρχῳ	noun	lex1702.1_Δικαίαρχος
Διογένης	noun	lex1718.1_Διογένης
Διογένους	noun	lex1718.1_Διογένης
Διομήδεας	noun	lex1735.1_Διομήδης
Διομήδεος	noun	lex1735.1_Διομήδης
Διομήδεϊ	noun	lex1735.1_Διομήδης
Διομήδη	noun	lex1734.1_Διομήδη
Διομήδη	noun	lex1735.1_Διομήδης
Διομήδης	noun	lex1735.1_Διομήδης
Διομήδους	noun	lex1735.1_Διομήδης
Διομήδη	noun	lex1735.1_Διομήδης
Διομήδη	noun	lex1734.1_Διομήδη
Διομήδης	noun	lex1735.1_Διομήδης
Διομήδους	noun	lex1735.1_Διομήδης
Διονυσίου	adjective	lex1760.1_Διονύσιος
Διονυσίου	noun	lex1759.1_Διονύσιον
Διονυσίῳ	noun	lex1759.1_Διονύσιον
Διονυσίῳ	adjective	lex1760.1_Διονύσιος
Διονύσιον	adjective	lex1760.1_Διονύσιος
Διονύσιον	noun	lex1759.1_Διονύσιον
Διονύσιος	adjective	lex1760.1_Διονύσιος
Διονύσου	noun	lex1811.1_Διόνυσος
Διονύσου	noun	lex1761.1_Διονύσος
Διονύσω	noun	lex1811.1_Διόνυσος
Διονύσω	noun	lex1761.1_Διονύσος
Διονύσῳ	noun	lex1761.1_Διονύσος
Διονύσῳ	noun	lex1811.1_Διόνυσος
Διονύσιος	adjective	lex1760.1_Διονύσιος
Διοσκούροις	noun	lex1818.1_Διόσκουροι
Διοσκούροις	noun	lex1817.1_Διόσκοροι
Διοσκούρους	noun	lex1817.1_Διόσκοροι
Διοσκούρους	noun	lex1818.1_Διόσκουροι
Διοσκούρων	noun	lex1818.1_Διόσκουροι
Διοσκούρων	noun	lex1817.1_Διόσκοροι
Διόδωρον	noun	lex1805.1_Διόδωρος
Διόνυσον	noun	lex1811.1_Διόνυσος
Διός	noun	lex2415.1_Ζεύς
Διώνῃ	noun	lex1824.1_Διώνη
Διὶ̈	noun	lex2415.1_Ζεύς
Διὸς	noun	lex2415.1_Ζεύς
Διόνυσος	noun	lex1811.1_Διόνυσος
Διός	noun	lex2415.1_Ζεύς
Διόσκουροι	noun	lex1817.1_Διόσκοροι
Διόσκουροι	noun	lex1818.1_Διόσκουροι
Διῒ	noun	lex2415.1_Ζεύς
Δολίος	noun	lex1831.1_Δολίος
Δολόπεσσιν	noun	lex1961.1_Δόλοψ
Δολόπων	noun	lex1961.1_Δόλοψ
Δορικῶς	adjective	lex21838.1_δορικός
Δουλίχιον	noun	lex1859.1_Δουλίχιος
Δουλιχίοιο	noun	lex1859.1_Δουλίχιος
Δουλιχίου	noun	lex1859.1_Δουλίχιος
Δρύαντος	noun	lex1906.1_Δρύας
Δρύοπας	noun	lex1911.1_Δρύοψ
Δρύοπας	noun	lex22266.1_δρύοψ
Δρύαντος	noun	lex1906.1_Δρύας
Δωδωνίδας	noun	lex1932.1_Δωδωνίς
Δωδωνίσι	noun	lex1932.1_Δωδωνίς
Δωδωναίου	adjective	lex1933.1_Δωδωναῖος
Δωδωναῖε	adjective	lex1933.1_Δωδωναῖος
Δωδώνην	noun	lex1934.1_Δωδώνη
Δωρίδος	noun	lex1938.1_Δωρίς
Δωριεῖς	verb	lex23355.1_δωρίζω
Δωριεῖς	noun	lex1942.1_Δωριεύς
Δωριεῦσι	noun	lex1942.1_Δωριεύς
Δωρικὴ	adjective	lex1943.1_Δωρικός
Δωρικὸν	adjective	lex1943.1_Δωρικός
Δωρικώτερον	adjective	lex1943.1_Δωρικός
Δωρικῶς	adjective	lex1943.1_Δωρικός
Δωρόθεος	noun	lex1946.1_Δωρόθεος
Δωρὶς	noun	lex1938.1_Δωρίς
Δωρίδα	noun	lex1938.1_Δωρίς
Δϊός	noun	lex2415.1_Ζεύς
Δόλοπα	noun	lex1961.1_Δόλοψ
Δόλοψ	noun	lex1961.1_Δόλοψ
Δόλων	noun	lex23413.1_δόλος
Δόλων	noun	lex1962.1_Δόλων
Δόλων	noun	lex23417.1_δόλων
Δόλων	verb	lex21749.1_δολόω
Δόλωνα	noun	lex23417.1_δόλων
Δόλωνα	noun	lex1962.1_Δόλων
Δόλωνος	noun	lex23417.1_δόλων
Δόλωνος	noun	lex1962.1_Δόλων
Δόριον	noun	lex1965.1_Δόριος
Δώριον	verb	lex23354.1_δωρέω
Δώριον	adjective	lex1981.1_Δώριος
Δάπεδον	noun	lex17341.1_δάπεδον
Δάρδανον	noun	lex1303.1_Δάρδανος
Δήλῳ	noun	lex1988.1_Δῆλος
Δήλῳ	adjective	lex23675.1_δῆλος
Δία	noun	lex2415.1_Ζεύς
Δία	adjective	lex23684.1_δῖος
Δία	noun	lex1362.1_Δίον
Δίδυμος	noun	lex1343.1_Δίδυμος
Δίδυμος	adjective	lex17523.1_δίδυμος
Δίά	adjective	lex23684.1_δῖος
Δίά	noun	lex2415.1_Ζεύς
Δίά	noun	lex1362.1_Δίον
Δόλοπα	noun	lex1961.1_Δόλοψ
Δόλοπι	noun	lex1961.1_Δόλοψ
Δόλοπος	noun	lex1961.1_Δόλοψ
Δόλοψ	noun	lex1961.1_Δόλοψ
Δόλωνα	noun	lex1962.1_Δόλων
Δόλωνα	noun	lex23417.1_δόλων
Δύσπαρι	noun	lex1976.1_Δύσπαρις
Δύσπαρις	noun	lex1976.1_Δύσπαρις
Δώριον	verb	lex23354.1_δωρέω
Δώριον	adjective	lex1981.1_Δώριος
Δῆλον	adjective	lex23675.1_δῆλος
Δῆλον	noun	lex1988.1_Δῆλος
Δῖαν	adjective	lex23684.1_δῖος
Δῶρ᾽	noun	lex23689.1_δῶρον
Δῶρ᾽	noun	lex1996.1_Δῶρος
Δῶρ᾽	noun	lex1994.1_Δῶρα
Δῶρ᾽	noun	lex1995.1_Δῶρις
Ευριπίδῃ	noun	http://data.perseus.org/collections/_Ευριπίδης
Ευριπίδῃ	noun	http://data.perseus.org/collections/_Ευριπίδης
Εἰλείθυιαι	noun	lex2009.1_Εἰλείθυια
Εἰλειθυίας	noun	lex2009.1_Εἰλείθυια
Εὐήνου	noun	lex2300.1_Εὔηνος
Εὐαιμονίδης	noun	lex2060.1_Εὐαιμονίδης
Εὐβοίας	noun	lex2290.1_Εὔβοια
Εὐβοίης	noun	lex2290.1_Εὔβοια
Εὐβοίᾳ	noun	lex2290.1_Εὔβοια
Εὐμήλοιο	noun	lex2315.1_Εὔμηλος
Εὐμόλπου	noun	lex2317.1_Εὔμολπος
Εὐριπίδης	noun	lex2162.1_Εὐριπίδης
Εὐριπίδης	noun	lex25695.1_εὐριπίδης
Εὐριπίδῃ	noun	lex2162.1_Εὐριπίδης
Εὐριπίδῃ	noun	lex25695.1_εὐριπίδης
Εὐριπίδης	noun	lex25695.1_εὐριπίδης
Εὐριπίδης	noun	lex2162.1_Εὐριπίδης
Εὐριπίδῃ	noun	lex25695.1_εὐριπίδης
Εὐριπίδῃ	noun	lex2162.1_Εὐριπίδης
Εὐρυβάτην	noun	lex2169.1_Εὐρυβάτης
Εὐρυβάτης	noun	lex2169.1_Εὐρυβάτης
Εὐρυμέδοντα	noun	lex2189.1_Εὐρυμέδων
Εὐρυνόμη	noun	lex2193.1_Εὐρυνόμη
